Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,Frequency Score,Amount Normalized,Purchases Normalized,Value Score,Value Tier,Purchases Freq Normalized,Loyalty Score A,Loyalty Score B,Promo Dependency Score,Satisfaction Flag,Loyalty Tier
529,34,Male,Sneakers,Footwear,88,Maryland,S,Beige,Winter,3.2,Yes,Express,Yes,40,Cash,Annually,1,0.85,0.7959183673469388,0.8229591836734693,High Value,0.0,0.3979591836734694,0.31836734693877555,2,Unsatisfied,Low Loyalty
530,32,Male,Shorts,Clothing,84,California,M,Orange,Fall,3.7,Yes,Standard,Yes,6,Credit Card,Monthly,3,0.8,0.10204081632653061,0.45102040816326533,Mid Value,0.5,0.3010204081632653,0.24081632653061225,2,Unsatisfied,Low Loyalty
531,48,Male,Coat,Outerwear,37,Montana,XL,Magenta,Winter,3.2,Yes,Store Pickup,Yes,25,Credit Card,Fortnightly,4,0.2125,0.4897959183673469,0.3511479591836735,Mid Value,0.75,0.6198979591836735,0.49591836734693884,2,Unsatisfied,Mid Loyalty
532,50,Male,Sandals,Footwear,51,Vermont,L,Purple,Fall,3.4,Yes,Next Day Air,Yes,42,Cash,Weekly,5,0.3875,0.8367346938775511,0.6121173469387755,Mid Value,1.0,0.9183673469387755,0.7346938775510204,2,Unsatisfied,High Loyalty
533,26,Male,Pants,Clothing,76,Texas,L,Black,Winter,4.1,Yes,Express,Yes,35,Bank Transfer,Quarterly,2,0.7,0.6938775510204082,0.6969387755102041,High Value,0.25,0.4719387755102041,0.3775510204081633,2,Satisfied,Mid Loyalty
534,57,Male,Sandals,Footwear,60,North Carolina,L,Pink,Spring,4.5,Yes,Next Day Air,Yes,17,Debit Card,Weekly,5,0.5,0.32653061224489793,0.41326530612244894,Mid Value,1.0,0.6632653061224489,0.5306122448979592,2,Satisfied,Mid Loyalty
535,65,Male,Gloves,Accessories,72,Florida,L,Pink,Fall,4.5,Yes,Next Day Air,Yes,4,PayPal,Quarterly,2,0.65,0.061224489795918366,0.3556122448979592,Mid Value,0.25,0.1556122448979592,0.12448979591836735,2,Satisfied,Low Loyalty
536,56,Male,T-shirt,Clothing,45,West Virginia,L,Maroon,Spring,3.2,Yes,Free Shipping,Yes,24,Bank Transfer,Weekly,5,0.3125,0.46938775510204084,0.39094387755102045,Mid Value,1.0,0.7346938775510204,0.5877551020408164,2,Unsatisfied,Mid Loyalty
537,44,Male,Jacket,Outerwear,84,Illinois,S,Maroon,Fall,4.4,Yes,Store Pickup,Yes,16,Debit Card,Quarterly,2,0.8,0.30612244897959184,0.5530612244897959,Mid Value,0.25,0.2780612244897959,0.22244897959183674,2,Satisfied,Low Loyalty
538,50,Male,Blouse,Clothing,49,Virginia,S,Turquoise,Summer,3.0,Yes,Store Pickup,Yes,14,Debit Card,Annually,1,0.3625,0.2653061224489796,0.3139030612244898,Low Value,0.0,0.1326530612244898,0.10612244897959185,2,Unsatisfied,Low Loyalty
539,27,Male,Socks,Clothing,22,Virginia,XL,Green,Spring,3.2,Yes,Free Shipping,Yes,43,Cash,Weekly,5,0.025,0.8571428571428571,0.44107142857142856,Mid Value,1.0,0.9285714285714286,0.7428571428571429,2,Unsatisfied,High Loyalty
540,49,Male,Coat,Outerwear,48,Wyoming,M,Violet,Winter,4.0,Yes,Store Pickup,Yes,49,Debit Card,Weekly,5,0.35,0.9795918367346939,0.6647959183673469,Mid Value,1.0,0.9897959183673469,0.7918367346938776,2,Satisfied,High Loyalty
541,49,Male,Dress,Clothing,37,South Carolina,M,Lavender,Spring,3.1,Yes,Next Day Air,Yes,33,Cash,Quarterly,2,0.2125,0.6530612244897959,0.43278061224489794,Mid Value,0.25,0.45153061224489793,0.36122448979591837,2,Unsatisfied,Mid Loyalty
542,52,Male,Jacket,Outerwear,27,Connecticut,L,Gray,Fall,2.8,Yes,Next Day Air,Yes,45,Cash,Fortnightly,4,0.0875,0.8979591836734694,0.4927295918367347,Mid Value,0.75,0.8239795918367347,0.6591836734693879,2,Unsatisfied,Mid Loyalty
543,27,Male,Boots,Footwear,79,Illinois,XL,Teal,Spring,4.6,Yes,Next Day Air,Yes,35,Cash,Fortnightly,4,0.7375,0.6938775510204082,0.7156887755102042,High Value,0.75,0.721938775510204,0.5775510204081632,2,Satisfied,Mid Loyalty
544,53,Male,Skirt,Clothing,98,Alabama,S,Red,Spring,4.3,Yes,Express,Yes,11,Credit Card,Monthly,3,0.975,0.20408163265306123,0.5895408163265305,Mid Value,0.5,0.3520408163265306,0.2816326530612245,2,Satisfied,Low Loyalty
545,34,Male,Sandals,Footwear,64,Washington,S,Yellow,Summer,3.3,Yes,Standard,Yes,30,Bank Transfer,Quarterly,2,0.55,0.5918367346938775,0.5709183673469388,Mid Value,0.25,0.42091836734693877,0.33673469387755106,2,Unsatisfied,Mid Loyalty
546,33,Male,Coat,Outerwear,32,Alabama,L,Magenta,Summer,3.5,Yes,2-Day Shipping,Yes,48,Debit Card,Annually,1,0.15,0.9591836734693877,0.5545918367346938,Mid Value,0.0,0.47959183673469385,0.3836734693877551,2,Unsatisfied,Mid Loyalty
547,62,Male,Hoodie,Clothing,74,New Mexico,M,Brown,Winter,3.4,Yes,Free Shipping,Yes,45,Venmo,Fortnightly,4,0.675,0.8979591836734694,0.7864795918367347,High Value,0.75,0.8239795918367347,0.6591836734693879,2,Unsatisfied,Mid Loyalty
548,38,Male,Jacket,Outerwear,50,Nevada,M,Blue,Winter,2.8,Yes,Free Shipping,Yes,26,Venmo,Weekly,5,0.375,0.5102040816326531,0.44260204081632654,Mid Value,1.0,0.7551020408163265,0.6040816326530613,2,Unsatisfied,Mid Loyalty
549,36,Male,Backpack,Accessories,64,Nebraska,M,Black,Winter,4.6,Yes,Store Pickup,Yes,41,Debit Card,Quarterly,2,0.55,0.8163265306122449,0.6831632653061225,High Value,0.25,0.5331632653061225,0.42653061224489797,2,Satisfied,Mid Loyalty
550,31,Male,Backpack,Accessories,29,Arizona,S,Olive,Fall,3.6,Yes,Express,Yes,37,Venmo,Fortnightly,4,0.1125,0.7346938775510204,0.42359693877551025,Mid Value,0.75,0.7423469387755102,0.5938775510204082,2,Unsatisfied,Mid Loyalty
551,62,Male,Belt,Accessories,62,Georgia,M,Olive,Summer,3.3,Yes,Store Pickup,Yes,12,PayPal,Weekly,5,0.525,0.22448979591836735,0.3747448979591837,Mid Value,1.0,0.6122448979591837,0.489795918367347,2,Unsatisfied,Mid Loyalty
552,29,Male,Coat,Outerwear,78,Idaho,XL,Green,Fall,3.1,Yes,2-Day Shipping,Yes,27,Cash,Fortnightly,4,0.725,0.5306122448979592,0.6278061224489796,Mid Value,0.75,0.6403061224489797,0.5122448979591837,2,Unsatisfied,Mid Loyalty
553,24,Male,T-shirt,Clothing,94,Missouri,M,Peach,Fall,3.5,Yes,Express,Yes,18,Bank Transfer,Weekly,5,0.925,0.3469387755102041,0.635969387755102,Mid Value,1.0,0.673469387755102,0.5387755102040817,2,Unsatisfied,Mid Loyalty
554,63,Male,Sunglasses,Accessories,59,Florida,M,White,Winter,3.2,Yes,Express,Yes,15,Credit Card,Quarterly,2,0.4875,0.2857142857142857,0.3866071428571428,Mid Value,0.25,0.26785714285714285,0.2142857142857143,2,Unsatisfied,Low Loyalty
555,56,Male,Sneakers,Footwear,47,Minnesota,M,Red,Summer,3.0,Yes,Express,Yes,34,Bank Transfer,Weekly,5,0.3375,0.673469387755102,0.505484693877551,Mid Value,1.0,0.8367346938775511,0.6693877551020408,2,Unsatisfied,High Loyalty
556,63,Male,Gloves,Accessories,57,Maine,M,White,Fall,4.8,Yes,Express,Yes,37,Venmo,Annually,1,0.4625,0.7346938775510204,0.5985969387755102,Mid Value,0.0,0.3673469387755102,0.2938775510204082,2,Satisfied,Low Loyalty
557,40,Male,Coat,Outerwear,90,Montana,L,Indigo,Winter,5.0,Yes,Store Pickup,Yes,21,Cash,Fortnightly,4,0.875,0.40816326530612246,0.6415816326530612,Mid Value,0.75,0.5790816326530612,0.463265306122449,2,Satisfied,Mid Loyalty
558,18,Male,Shirt,Clothing,60,Alaska,M,White,Spring,2.9,Yes,Free Shipping,Yes,31,Debit Card,Weekly,5,0.5,0.6122448979591837,0.5561224489795918,Mid Value,1.0,0.8061224489795918,0.6448979591836735,2,Unsatisfied,Mid Loyalty
559,50,Male,Sneakers,Footwear,77,Iowa,L,Teal,Fall,3.2,Yes,Express,Yes,43,Debit Card,Quarterly,2,0.7125,0.8571428571428571,0.7848214285714286,High Value,0.25,0.5535714285714286,0.4428571428571429,2,Unsatisfied,Mid Loyalty
560,66,Male,Scarf,Accessories,41,Arizona,M,Indigo,Fall,2.9,Yes,Store Pickup,Yes,22,Bank Transfer,Monthly,3,0.2625,0.42857142857142855,0.3455357142857143,Mid Value,0.5,0.4642857142857143,0.37142857142857144,2,Unsatisfied,Mid Loyalty
561,25,Male,Jewelry,Accessories,48,Louisiana,L,Red,Fall,3.8,Yes,Free Shipping,Yes,12,Debit Card,Annually,1,0.35,0.22448979591836735,0.2872448979591837,Low Value,0.0,0.11224489795918367,0.08979591836734695,2,Unsatisfied,Low Loyalty
562,65,Male,Jacket,Outerwear,65,Alabama,M,Blue,Fall,2.6,Yes,Next Day Air,Yes,25,PayPal,Fortnightly,4,0.5625,0.4897959183673469,0.5261479591836735,Mid Value,0.75,0.6198979591836735,0.49591836734693884,2,Unsatisfied,Mid Loyalty
563,53,Male,Jeans,Clothing,62,Missouri,M,Blue,Summer,3.5,Yes,Standard,Yes,40,Debit Card,Annually,1,0.525,0.7959183673469388,0.6604591836734695,Mid Value,0.0,0.3979591836734694,0.31836734693877555,2,Unsatisfied,Low Loyalty
564,61,Male,Shoes,Footwear,99,Idaho,M,Black,Fall,4.4,Yes,Standard,Yes,16,Debit Card,Quarterly,2,0.9875,0.30612244897959184,0.6468112244897959,Mid Value,0.25,0.2780612244897959,0.22244897959183674,2,Satisfied,Low Loyalty
565,67,Male,Hoodie,Clothing,58,Florida,M,Olive,Winter,3.4,Yes,Next Day Air,Yes,30,Bank Transfer,Weekly,5,0.475,0.5918367346938775,0.5334183673469388,Mid Value,1.0,0.7959183673469388,0.6367346938775511,2,Unsatisfied,Mid Loyalty
566,59,Male,Backpack,Accessories,43,Idaho,L,Lavender,Fall,4.2,Yes,Store Pickup,Yes,10,Venmo,Weekly,5,0.2875,0.1836734693877551,0.23558673469387753,Low Value,1.0,0.5918367346938775,0.47346938775510206,2,Satisfied,Mid Loyalty
567,55,Male,Sneakers,Footwear,93,Alabama,M,Indigo,Spring,3.6,Yes,Store Pickup,Yes,1,Debit Card,Fortnightly,4,0.9125,0.0,0.45625,Mid Value,0.75,0.375,0.30000000000000004,2,Unsatisfied,Low Loyalty
568,21,Male,Blouse,Clothing,50,New Hampshire,S,Red,Winter,3.0,Yes,Next Day Air,Yes,24,Venmo,Fortnightly,4,0.375,0.46938775510204084,0.42219387755102045,Mid Value,0.75,0.6096938775510204,0.4877551020408164,2,Unsatisfied,Mid Loyalty
569,44,Male,Pants,Clothing,88,Utah,L,Red,Summer,4.0,Yes,Free Shipping,Yes,36,PayPal,Monthly,3,0.85,0.7142857142857143,0.7821428571428571,High Value,0.5,0.6071428571428572,0.48571428571428577,2,Satisfied,Mid Loyalty
570,65,Male,Skirt,Clothing,33,Alabama,M,Pink,Fall,4.4,Yes,Express,Yes,46,Credit Card,Quarterly,2,0.1625,0.9183673469387755,0.5404336734693878,Mid Value,0.25,0.5841836734693877,0.4673469387755102,2,Satisfied,Mid Loyalty
571,65,Male,T-shirt,Clothing,99,Iowa,XL,Purple,Fall,4.1,Yes,Standard,Yes,20,Cash,Annually,1,0.9875,0.3877551020408163,0.6876275510204082,High Value,0.0,0.19387755102040816,0.15510204081632653,2,Satisfied,Low Loyalty
572,54,Male,Jacket,Outerwear,76,Kentucky,XL,Cyan,Spring,3.6,Yes,Free Shipping,Yes,37,Venmo,Weekly,5,0.7,0.7346938775510204,0.7173469387755103,High Value,1.0,0.8673469387755102,0.6938775510204082,2,Unsatisfied,High Loyalty
573,56,Male,Scarf,Accessories,97,South Carolina,XL,Cyan,Summer,4.6,Yes,Next Day Air,Yes,26,Bank Transfer,Annually,1,0.9625,0.5102040816326531,0.7363520408163265,High Value,0.0,0.25510204081632654,0.20408163265306123,2,Satisfied,Low Loyalty
574,58,Male,Pants,Clothing,68,California,M,Charcoal,Summer,3.2,Yes,2-Day Shipping,Yes,23,Credit Card,Fortnightly,4,0.6,0.4489795918367347,0.5244897959183673,Mid Value,0.75,0.5994897959183674,0.4795918367346939,2,Unsatisfied,Mid Loyalty
575,54,Male,Sneakers,Footwear,79,Maine,L,Red,Fall,4.8,Yes,Free Shipping,Yes,20,Bank Transfer,Fortnightly,4,0.7375,0.3877551020408163,0.5626275510204082,Mid Value,0.75,0.5688775510204082,0.45510204081632655,2,Satisfied,Mid Loyalty
576,58,Male,Jeans,Clothing,86,Nebraska,M,Peach,Fall,4.8,Yes,Express,Yes,38,PayPal,Monthly,3,0.825,0.7551020408163265,0.7900510204081632,High Value,0.5,0.6275510204081632,0.5020408163265306,2,Satisfied,Mid Loyalty
577,48,Male,Hat,Accessories,68,Washington,M,Black,Winter,5.0,Yes,2-Day Shipping,Yes,5,Credit Card,Quarterly,2,0.6,0.08163265306122448,0.3408163265306122,Mid Value,0.25,0.16581632653061223,0.1326530612244898,2,Satisfied,Low Loyalty
578,19,Male,Skirt,Clothing,52,Alabama,M,Black,Fall,3.7,Yes,Store Pickup,Yes,41,Venmo,Annually,1,0.4,0.8163265306122449,0.6081632653061224,Mid Value,0.0,0.40816326530612246,0.326530612244898,2,Unsatisfied,Low Loyalty
579,69,Male,Sandals,Footwear,90,Maine,M,Purple,Fall,4.6,Yes,Next Day Air,Yes,22,Credit Card,Fortnightly,4,0.875,0.42857142857142855,0.6517857142857143,Mid Value,0.75,0.5892857142857143,0.4714285714285715,2,Satisfied,Mid Loyalty
580,58,Male,Sandals,Footwear,41,California,M,Violet,Winter,3.7,Yes,Free Shipping,Yes,48,Credit Card,Annually,1,0.2625,0.9591836734693877,0.6108418367346938,Mid Value,0.0,0.47959183673469385,0.3836734693877551,2,Unsatisfied,Mid Loyalty
581,49,Male,Sweater,Clothing,80,Iowa,M,Orange,Spring,4.1,Yes,Free Shipping,Yes,10,PayPal,Weekly,5,0.75,0.1836734693877551,0.46683673469387754,Mid Value,1.0,0.5918367346938775,0.47346938775510206,2,Satisfied,Mid Loyalty
582,32,Male,Sweater,Clothing,100,Iowa,XL,Charcoal,Winter,2.7,Yes,Store Pickup,Yes,12,Bank Transfer,Quarterly,2,1.0,0.22448979591836735,0.6122448979591837,Mid Value,0.25,0.2372448979591837,0.18979591836734697,2,Unsatisfied,Low Loyalty
583,40,Male,Jacket,Outerwear,77,Colorado,L,Turquoise,Spring,4.9,Yes,Store Pickup,Yes,2,Bank Transfer,Quarterly,2,0.7125,0.02040816326530612,0.3664540816326531,Mid Value,0.25,0.13520408163265307,0.10816326530612247,2,Satisfied,Low Loyalty
584,25,Male,Shorts,Clothing,78,California,L,Yellow,Spring,4.0,Yes,Store Pickup,Yes,38,PayPal,Monthly,3,0.725,0.7551020408163265,0.7400510204081632,High Value,0.5,0.6275510204081632,0.5020408163265306,2,Satisfied,Mid Loyalty
585,70,Male,Socks,Clothing,94,Indiana,M,White,Spring,4.7,Yes,Free Shipping,Yes,20,Debit Card,Monthly,3,0.925,0.3877551020408163,0.6563775510204082,Mid Value,0.5,0.44387755102040816,0.35510204081632657,2,Satisfied,Mid Loyalty
586,69,Male,Socks,Clothing,23,South Carolina,M,Gray,Fall,2.8,Yes,Next Day Air,Yes,5,Cash,Quarterly,2,0.0375,0.08163265306122448,0.05956632653061224,Low Value,0.25,0.16581632653061223,0.1326530612244898,2,Unsatisfied,Low Loyalty
587,45,Male,Hoodie,Clothing,20,Wisconsin,S,Blue,Winter,4.9,Yes,2-Day Shipping,Yes,9,Venmo,Annually,1,0.0,0.16326530612244897,0.08163265306122448,Low Value,0.0,0.08163265306122448,0.06530612244897958,2,Satisfied,Low Loyalty
588,29,Male,Socks,Clothing,86,Washington,S,Maroon,Fall,4.2,Yes,Express,Yes,48,Debit Card,Quarterly,2,0.825,0.9591836734693877,0.8920918367346938,High Value,0.25,0.6045918367346939,0.48367346938775513,2,Satisfied,Mid Loyalty
589,47,Male,Boots,Footwear,60,South Dakota,M,Violet,Fall,3.0,Yes,Standard,Yes,9,Debit Card,Quarterly,2,0.5,0.16326530612244897,0.33163265306122447,Low Value,0.25,0.20663265306122447,0.16530612244897958,2,Unsatisfied,Low Loyalty
590,28,Male,Shirt,Clothing,70,Minnesota,M,Orange,Fall,3.4,Yes,2-Day Shipping,Yes,40,PayPal,Annually,1,0.625,0.7959183673469388,0.7104591836734694,High Value,0.0,0.3979591836734694,0.31836734693877555,2,Unsatisfied,Low Loyalty
591,64,Male,Belt,Accessories,39,Alaska,S,Turquoise,Fall,4.6,Yes,Standard,Yes,30,Venmo,Fortnightly,4,0.2375,0.5918367346938775,0.4146683673469388,Mid Value,0.75,0.6709183673469388,0.536734693877551,2,Satisfied,Mid Loyalty
592,47,Male,Backpack,Accessories,37,Kentucky,L,Olive,Fall,4.2,Yes,Store Pickup,Yes,6,Debit Card,Fortnightly,4,0.2125,0.10204081632653061,0.15727040816326532,Low Value,0.75,0.4260204081632653,0.3408163265306123,2,Satisfied,Mid Loyalty
593,60,Male,Boots,Footwear,29,North Dakota,M,Brown,Fall,3.2,Yes,Free Shipping,Yes,42,Venmo,Quarterly,2,0.1125,0.8367346938775511,0.47461734693877555,Mid Value,0.25,0.5433673469387755,0.43469387755102046,2,Unsatisfied,Mid Loyalty
594,67,Male,Coat,Outerwear,35,Alaska,S,Green,Winter,4.4,Yes,Store Pickup,Yes,9,PayPal,Quarterly,2,0.1875,0.16326530612244897,0.17538265306122447,Low Value,0.25,0.20663265306122447,0.16530612244897958,2,Satisfied,Low Loyalty
595,35,Male,Hoodie,Clothing,83,Oklahoma,S,Brown,Winter,2.5,Yes,Next Day Air,Yes,6,Debit Card,Monthly,3,0.7875,0.10204081632653061,0.4447704081632653,Mid Value,0.5,0.3010204081632653,0.24081632653061225,2,Unsatisfied,Low Loyalty
596,30,Male,Shoes,Footwear,77,Delaware,M,Silver,Summer,3.6,Yes,Next Day Air,Yes,47,PayPal,Quarterly,2,0.7125,0.9387755102040817,0.8256377551020408,High Value,0.25,0.5943877551020409,0.47551020408163275,2,Unsatisfied,Mid Loyalty
597,23,Male,Shoes,Footwear,37,Montana,XL,White,Summer,4.5,Yes,Store Pickup,Yes,36,Venmo,Annually,1,0.2125,0.7142857142857143,0.46339285714285716,Mid Value,0.0,0.35714285714285715,0.28571428571428575,2,Satisfied,Low Loyalty
598,70,Male,Jewelry,Accessories,69,Alaska,L,Gold,Summer,3.4,Yes,Standard,Yes,19,Bank Transfer,Fortnightly,4,0.6125,0.3673469387755102,0.4899234693877551,Mid Value,0.75,0.5586734693877551,0.4469387755102041,2,Unsatisfied,Mid Loyalty
599,21,Male,Dress,Clothing,66,California,L,Green,Winter,3.2,Yes,2-Day Shipping,Yes,30,Cash,Quarterly,2,0.575,0.5918367346938775,0.5834183673469387,Mid Value,0.25,0.42091836734693877,0.33673469387755106,2,Unsatisfied,Mid Loyalty
600,51,Male,Boots,Footwear,26,Massachusetts,L,Teal,Spring,4.2,Yes,Standard,Yes,27,Debit Card,Quarterly,2,0.075,0.5306122448979592,0.3028061224489796,Low Value,0.25,0.3903061224489796,0.3122448979591837,2,Satisfied,Low Loyalty
601,22,Male,Hat,Accessories,63,South Carolina,M,Charcoal,Spring,5.0,Yes,2-Day Shipping,Yes,25,Venmo,Monthly,3,0.5375,0.4897959183673469,0.5136479591836735,Mid Value,0.5,0.49489795918367346,0.3959183673469388,2,Satisfied,Mid Loyalty
602,32,Male,Backpack,Accessories,38,West Virginia,M,Maroon,Summer,4.7,Yes,Store Pickup,Yes,5,Cash,Fortnightly,4,0.225,0.08163265306122448,0.15331632653061225,Low Value,0.75,0.41581632653061223,0.3326530612244898,2,Satisfied,Low Loyalty
603,37,Male,Shoes,Footwear,58,Oregon,L,Lavender,Summer,4.2,Yes,Next Day Air,Yes,10,Cash,Quarterly,2,0.475,0.1836734693877551,0.32933673469387753,Low Value,0.25,0.21683673469387754,0.17346938775510204,2,Satisfied,Low Loyalty
604,31,Male,Handbag,Accessories,46,Massachusetts,L,Green,Winter,3.4,Yes,2-Day Shipping,Yes,26,PayPal,Quarterly,2,0.325,0.5102040816326531,0.41760204081632657,Mid Value,0.25,0.38010204081632654,0.30408163265306126,2,Unsatisfied,Low Loyalty
605,44,Male,Sunglasses,Accessories,92,West Virginia,S,Pink,Fall,4.4,Yes,Store Pickup,Yes,11,Credit Card,Quarterly,2,0.9,0.20408163265306123,0.5520408163265307,Mid Value,0.25,0.22704081632653061,0.1816326530612245,2,Satisfied,Low Loyalty
606,40,Male,Hat,Accessories,32,California,XL,Charcoal,Winter,4.2,Yes,Standard,Yes,17,Bank Transfer,Weekly,5,0.15,0.32653061224489793,0.23826530612244895,Low Value,1.0,0.6632653061224489,0.5306122448979592,2,Satisfied,Mid Loyalty
607,27,Male,Scarf,Accessories,90,Colorado,M,Blue,Spring,4.5,Yes,Standard,Yes,44,PayPal,Monthly,3,0.875,0.8775510204081632,0.8762755102040816,High Value,0.5,0.6887755102040816,0.5510204081632653,2,Satisfied,Mid Loyalty
608,47,Male,Hoodie,Clothing,23,Indiana,L,Purple,Fall,2.8,Yes,Next Day Air,Yes,44,Cash,Monthly,3,0.0375,0.8775510204081632,0.4575255102040816,Mid Value,0.5,0.6887755102040816,0.5510204081632653,2,Unsatisfied,Mid Loyalty
609,41,Male,Backpack,Accessories,25,Delaware,S,Gold,Fall,3.3,Yes,Next Day Air,Yes,21,Venmo,Quarterly,2,0.0625,0.40816326530612246,0.23533163265306123,Low Value,0.25,0.32908163265306123,0.26326530612244897,2,Unsatisfied,Low Loyalty
610,51,Male,Sweater,Clothing,54,Ohio,L,Purple,Fall,4.6,Yes,Next Day Air,Yes,49,Credit Card,Fortnightly,4,0.425,0.9795918367346939,0.702295918367347,High Value,0.75,0.8647959183673469,0.6918367346938776,2,Satisfied,High Loyalty
611,53,Male,Shorts,Clothing,72,Oklahoma,M,Charcoal,Summer,2.5,Yes,Free Shipping,Yes,27,Bank Transfer,Quarterly,2,0.65,0.5306122448979592,0.5903061224489796,Mid Value,0.25,0.3903061224489796,0.3122448979591837,2,Unsatisfied,Low Loyalty
612,43,Male,Scarf,Accessories,33,California,M,Black,Winter,4.7,Yes,Store Pickup,Yes,19,Cash,Monthly,3,0.1625,0.3673469387755102,0.26492346938775513,Low Value,0.5,0.4336734693877551,0.3469387755102041,2,Satisfied,Mid Loyalty
613,67,Male,Hat,Accessories,43,New Hampshire,L,Lavender,Fall,4.6,Yes,Express,Yes,33,Credit Card,Quarterly,2,0.2875,0.6530612244897959,0.4702806122448979,Mid Value,0.25,0.45153061224489793,0.36122448979591837,2,Satisfied,Mid Loyalty
614,61,Male,Coat,Outerwear,51,Pennsylvania,L,Lavender,Fall,2.6,Yes,Standard,Yes,46,Cash,Fortnightly,4,0.3875,0.9183673469387755,0.6529336734693878,Mid Value,0.75,0.8341836734693877,0.6673469387755102,2,Unsatisfied,High Loyalty
615,68,Male,Jewelry,Accessories,85,Idaho,M,Lavender,Winter,4.0,Yes,Standard,Yes,21,Credit Card,Fortnightly,4,0.8125,0.40816326530612246,0.6103316326530612,Mid Value,0.75,0.5790816326530612,0.463265306122449,2,Satisfied,Mid Loyalty
616,67,Male,Sandals,Footwear,100,Maryland,L,Olive,Summer,2.6,Yes,Next Day Air,Yes,23,Venmo,Annually,1,1.0,0.4489795918367347,0.7244897959183674,High Value,0.0,0.22448979591836735,0.1795918367346939,2,Unsatisfied,Low Loyalty
617,29,Male,Gloves,Accessories,72,Pennsylvania,L,Teal,Spring,4.6,Yes,Free Shipping,Yes,38,Credit Card,Quarterly,2,0.65,0.7551020408163265,0.7025510204081633,High Value,0.25,0.5025510204081632,0.4020408163265306,2,Satisfied,Mid Loyalty
618,50,Male,Backpack,Accessories,57,Colorado,M,Maroon,Fall,2.6,Yes,Standard,Yes,2,Bank Transfer,Quarterly,2,0.4625,0.02040816326530612,0.24145408163265308,Low Value,0.25,0.13520408163265307,0.10816326530612247,2,Unsatisfied,Low Loyalty
619,61,Male,Jacket,Outerwear,94,Indiana,L,Cyan,Spring,4.0,Yes,Express,Yes,21,Debit Card,Fortnightly,4,0.925,0.40816326530612246,0.6665816326530613,Mid Value,0.75,0.5790816326530612,0.463265306122449,2,Satisfied,Mid Loyalty
620,19,Male,Backpack,Accessories,34,Nebraska,M,Charcoal,Summer,4.6,Yes,Store Pickup,Yes,1,Debit Card,Quarterly,2,0.175,0.0,0.0875,Low Value,0.25,0.125,0.1,2,Satisfied,Low Loyalty
621,33,Male,Backpack,Accessories,89,Rhode Island,M,Black,Fall,3.7,Yes,2-Day Shipping,Yes,10,Venmo,Quarterly,2,0.8625,0.1836734693877551,0.5230867346938776,Mid Value,0.25,0.21683673469387754,0.17346938775510204,2,Unsatisfied,Low Loyalty
622,51,Male,Sunglasses,Accessories,27,Kansas,S,Red,Fall,4.4,Yes,Store Pickup,Yes,45,Credit Card,Weekly,5,0.0875,0.8979591836734694,0.4927295918367347,Mid Value,1.0,0.9489795918367347,0.7591836734693879,2,Satisfied,High Loyalty
623,69,Male,Socks,Clothing,63,Georgia,S,Peach,Spring,4.0,Yes,Next Day Air,Yes,44,Bank Transfer,Fortnightly,4,0.5375,0.8775510204081632,0.7075255102040816,High Value,0.75,0.8137755102040816,0.6510204081632653,2,Satisfied,Mid Loyalty
624,19,Male,Shoes,Footwear,70,Nevada,M,White,Fall,4.7,Yes,Standard,Yes,48,PayPal,Fortnightly,4,0.625,0.9591836734693877,0.7920918367346939,High Value,0.75,0.8545918367346939,0.6836734693877551,2,Satisfied,High Loyalty
625,55,Male,Pants,Clothing,87,South Carolina,XL,Pink,Fall,3.4,Yes,Express,Yes,21,PayPal,Annually,1,0.8375,0.40816326530612246,0.6228316326530612,Mid Value,0.0,0.20408163265306123,0.163265306122449,2,Unsatisfied,Low Loyalty
626,49,Male,Jewelry,Accessories,79,Delaware,M,Red,Fall,4.0,Yes,Next Day Air,Yes,1,Venmo,Weekly,5,0.7375,0.0,0.36875,Mid Value,1.0,0.5,0.4,2,Satisfied,Mid Loyalty
627,31,Male,Sunglasses,Accessories,79,New Hampshire,M,Indigo,Spring,3.9,Yes,Standard,Yes,10,Venmo,Annually,1,0.7375,0.1836734693877551,0.46058673469387756,Mid Value,0.0,0.09183673469387756,0.07346938775510205,2,Satisfied,Low Loyalty
628,42,Male,Sandals,Footwear,44,Oregon,L,Black,Winter,4.1,Yes,Express,Yes,24,PayPal,Monthly,3,0.3,0.46938775510204084,0.3846938775510204,Mid Value,0.5,0.48469387755102045,0.38775510204081637,2,Satisfied,Mid Loyalty
629,69,Male,Sweater,Clothing,85,Massachusetts,M,White,Fall,3.8,Yes,2-Day Shipping,Yes,29,Credit Card,Monthly,3,0.8125,0.5714285714285714,0.6919642857142857,High Value,0.5,0.5357142857142857,0.4285714285714286,2,Unsatisfied,Mid Loyalty
630,26,Male,Shoes,Footwear,90,Vermont,L,Beige,Spring,4.7,Yes,Standard,Yes,11,Debit Card,Annually,1,0.875,0.20408163265306123,0.5395408163265306,Mid Value,0.0,0.10204081632653061,0.0816326530612245,2,Satisfied,Low Loyalty
